VALUE	RED	GREEN	BLUE GREY
0	0	0	99	0
1	0	0	25	0
2	0	0	28	0
3	0	0	25	0
4	0	0	24	0
5	0	0	21	0
6	0	0	23	0
7	0	0	22	0
8	0	0	22	0
9	0	0	21	0
10	0	0	16	0
11	0	0	16	0
12	0	0	16	0
13	0	1	14	0
14	0	1	14	0
15	0	0	17	0
16	0	1	13	0
17	0	1	13	0
18	0	1	13	1
19	1	2	16	1
20	0	2	17	1
21	0	1	20	2
22	2	3	28	3
23	1	4	28	3
24	2	3	28	3
25	2	5	34	3
26	2	5	40	3
27	4	3	59	2
28	3	5	63	4
29	3	7	79	4
30	3	9	108	4
31	4	9	115	5
32	2	13	121	4
33	6	15	127	4
34	6	19	122	7
35	7	29	128	9
36	10	40	116	13
37	11	54	128	15
38	19	62	135	16
39	22	81	159	21
40	25	89	164	22
41	30	93	178	26
42	28	99	165	30
43	34	113	180	28
44	35	113	174	34
45	29	110	196	30
46	35	107	192	33
47	36	116	200	31
48	37	115	190	50
49	43	134	187	78
50	43	118	182	58
51	45	118	146	72
52	50	127	128	78
53	53	141	118	103
54	61	137	106	106
55	61	141	106	110
56	89	150	109	123
57	87	142	110	119
58	80	156	115	152
59	94	162	108	153
60	106	153	109	148
61	115	141	100	140
62	115	118	101	121
63	115	106	102	115
64	142	110	102	127
65	154	106	105	117
66	164	95	115	121
67	158	84	129	116
68	125	75	134	117
69	111	75	140	118
70	108	73	143	121
71	106	74	139	110
72	109	66	142	117
73	116	70	137	113
74	122	71	131	114
75	119	70	121	118
76	128	78	114	133
77	131	76	114	135
78	145	89	100	139
79	130	87	76	140
80	143	93	60	140
81	154	106	56	136
82	159	93	49	133
83	157	100	43	145
84	162	102	37	159
85	171	118	36	172
86	180	123	33	167
87	172	128	34	179
88	171	152	31	195
89	168	161	29	190
90	144	154	32	175
91	158	167	30	200
92	154	200	27	197
93	164	199	29	176
94	193	158	30	166
95	184	158	28	160
96	173	163	30	171
97	162	159	30	151
98	150	151	25	159
99	163	144	26	136
100	167	127	26	124
101	179	110	26	125
102	170	101	24	130
103	174	100	24	133
104	175	97	25	124
105	165	97	23	129
106	159	96	24	128
107	140	87	20	127
108	123	74	17	121
109	127	77	17	124
110	110	68	18	118
111	121	75	18	124
112	108	70	15	102
113	111	79	16	105
114	108	73	14	101
115	99	76	12	82
116	94	73	16	83
117	76	74	14	72
118	82	79	15	74
119	77	77	15	82
120	67	75	17	86
121	74	84	15	94
122	65	90	16	99
123	61	92	15	94
124	59	101	13	89
125	64	99	13	81
126	59	98	14	85
127	57	106	15	78
128	55	103	14	77
129	56	98	14	77
130	54	106	15	64
131	54	95	13	69
132	54	86	14	77
133	52	73	17	75
134	56	76	16	70
135	51	73	16	64
136	53	72	17	69
137	51	77	14	69
138	51	79	19	71
139	51	98	19	65
140	54	104	20	58
141	53	112	20	53
142	55	100	21	46
143	52	96	20	40
144	53	91	21	40
145	55	92	22	39
146	49	89	20	36
147	48	81	20	33
148	60	75	23	31
149	58	66	20	31
150	55	74	20	29
151	54	73	18	30
152	53	72	19	30
153	52	66	19	34
154	48	57	17	30
155	43	52	17	29
156	40	47	17	28
157	40	45	15	27
158	40	41	16	30
159	38	40	17	26
160	39	32	16	25
161	35	33	14	26
162	37	34	14	24
163	34	28	12	25
164	35	34	14	22
165	35	33	15	27
166	32	31	14	27
167	29	28	14	28
168	30	28	15	23
169	28	27	14	23
170	28	28	14	26
171	29	27	14	27
172	29	30	14	27
173	30	28	15	29
174	30	36	13	31
175	32	33	14	35
176	29	31	13	34
177	30	38	13	34
178	31	38	15	37
179	30	38	14	35
180	29	38	13	40
181	33	38	14	38
182	32	42	13	39
183	34	43	13	38
184	33	46	14	40
185	30	40	12	39
186	34	41	13	37
187	31	47	13	40
188	37	46	15	42
189	31	46	13	40
190	33	44	13	46
191	30	42	14	43
192	34	48	13	50
193	37	51	13	43
194	35	54	13	46
195	33	55	12	51
196	35	48	12	47
197	35	56	14	42
198	33	50	14	39
199	36	50	12	41
200	32	46	10	41
201	35	44	12	35
202	31	40	12	31
203	31	42	10	32
204	29	43	11	30
205	31	37	13	26
206	35	29	12	27
207	32	28	13	25
208	34	31	12	27
209	32	24	11	20
210	32	26	11	20
211	29	23	12	20
212	33	22	10	24
213	32	22	13	20
214	35	19	12	21
215	35	19	8	19
216	27	22	12	17
217	32	17	13	19
218	29	19	11	18
219	36	17	12	18
220	40	16	10	12
221	41	17	9	18
222	39	19	13	19
223	42	16	11	17
224	40	16	9	17
225	41	15	11	16
226	49	12	11	14
227	42	11	7	16
228	50	13	13	15
229	43	11	9	12
230	45	10	10	12
231	46	11	10	11
232	43	10	11	10
233	39	10	7	11
234	47	9	7	9
235	40	10	7	8
236	43	9	5	9
237	36	10	4	9
238	38	8	6	10
239	40	9	5	9
240	36	9	4	9
241	40	6	3	8
242	31	7	4	5
243	34	4	3	7
244	33	5	4	4
245	33	6	5	6
246	31	4	5	5
247	32	4	4	6
248	27	3	3	5
249	33	6	5	4
250	35	7	6	7
251	37	4	6	7
252	45	7	6	12
253	42	6	10	15
254	51	14	6	23
255	200	35	34	3
